subject,exp_type,experiment,r_pcs
TJ042,intracranial,pyFR,0.17881361236130952
TJ043,intracranial,pyFR,0.3462395192797029
TJ044,intracranial,pyFR,0.5402533181085027
TJ045,intracranial,pyFR,0.7829733454376977
TJ047,intracranial,pyFR,0.3157828101116454
TJ048,intracranial,pyFR,0.38530685682988225
TJ049,intracranial,pyFR,0.48383303207233563
TJ050,intracranial,pyFR,0.35782249208084044
TJ051,intracranial,pyFR,0.620994852855277
TJ052,intracranial,pyFR,0.7780364156743808
TJ053,intracranial,pyFR,-0.030802052731239454
TJ054,intracranial,pyFR,0.6218627528576454
TJ055,intracranial,pyFR,0.6871442921802406
TJ056,intracranial,pyFR,-0.26813377354262685
TJ057,intracranial,pyFR,0.5174868917355216
TJ058,intracranial,pyFR,0.7991118816187777
TJ059,intracranial,pyFR,0.6549058923908972
TJ060,intracranial,pyFR,0.6326696173525331
TJ061,intracranial,pyFR,-0.32132176517536426
TJ062,intracranial,pyFR,0.6628028714645061
TJ064,intracranial,pyFR,0.7842528068450209
TJ065,intracranial,pyFR,0.6683632075085735
TJ066,intracranial,pyFR,0.318239525738395
TJ068,intracranial,pyFR,0.6036489392460456
TJ069,intracranial,pyFR,0.7377462374460685
TJ071,intracranial,pyFR,1.0
TJ073,intracranial,pyFR,0.428567370123778
TJ074,intracranial,pyFR,0.5779674051295914
TJ075,intracranial,pyFR,0.6089541614934184
TJ077,intracranial,pyFR,0.6233546700585415
TJ078,intracranial,pyFR,0.36965251150585443
TJ079,intracranial,pyFR,0.43198668393963546
TJ080,intracranial,pyFR,0.48176271498707934
TJ081,intracranial,pyFR,0.5322634782217734
TJ082,intracranial,pyFR,0.02674787753695429
TJ083,intracranial,pyFR,0.38599472662699663
UP001,intracranial,pyFR,0.6699867977671049
UP002,intracranial,pyFR,0.8727868890171769
UP003,intracranial,pyFR,-0.009540161206827436
UP004,intracranial,pyFR,-0.05676519229334098
UP005,intracranial,pyFR,0.429357376622652
UP006,intracranial,pyFR,0.70932828409113
UP007,intracranial,pyFR,0.42107290738735753
UP008,intracranial,pyFR,0.5032111315576524
UP011,intracranial,pyFR,0.4851236019619816
UP016,intracranial,pyFR,0.8563388022570136
UP017,intracranial,pyFR,0.675081156915998
UP019,intracranial,pyFR,0.46547256587870967
UP020,intracranial,pyFR,0.7758416009008426
UP021,intracranial,pyFR,0.6680749191036696
UP022,intracranial,pyFR,0.41068736295738195
UP024,intracranial,pyFR,0.541555628267007
UP028,intracranial,pyFR,0.32191934243960757
UP029,intracranial,pyFR,-0.037297740772151505
UP034,intracranial,pyFR,0.6280487089682936
UP036,intracranial,pyFR,0.6976084014551303
UP037,intracranial,pyFR,0.9094989006322811
UP038,intracranial,pyFR,0.5401717110810202
UP040,intracranial,pyFR,0.6323862123959143
UP041,intracranial,pyFR,0.3922799515020991
UP042,intracranial,pyFR,0.8885766846764704
UP043,intracranial,pyFR,0.6722744527065172
UP044,intracranial,pyFR,0.44395610240768923
UP045,intracranial,pyFR,0.7678374858221892
UP046,intracranial,pyFR,0.38900736702785493
